kappa,rAB,rBC
6.066789e+04,7.973557e-13,6.726646e-03
5.077420e+05,1.611707e-10,7.524246e-01
2.434551e+11,2.300407e-05,1.000000e+00
5.329687e+10,1.065838e-05,9.999989e-01
2.148394e+06,7.054902e-11,9.842407e-01
1.717931e+05,8.500819e-12,1.300208e+00
1.024876e+06,1.342632e-10,1.815147e+00
2.533246e+06,7.864054e-11,1.060960e+00
9.310452e+05,3.855918e-11,1.173742e+00
4.566203e+05,1.804819e-11,7.477596e-01
3.340694e+09,5.484632e-07,9.999634e-01
2.237198e+05,3.826093e-13,5.368726e-01
8.218417e+05,7.502640e-12,5.681510e-01
4.484985e+04,1.713111e-13,1.880332e-02
1.468617e+03,4.323192e-15,3.788942e-06
7.021709e+04,2.233203e-12,4.084813e-02
3.152640e+11,9.919266e-06,8.367799e-01
5.494868e+11,4.617159e-05,1.000000e+00
1.784811e+02,2.711633e-14,7.899273e-08
1.917233e+03,6.492697e-14,4.256376e-05
7.835461e+02,1.695632e-13,1.143148e-07
2.599951e+07,2.301430e-10,8.642679e-01
3.444605e+01,4.717276e-15,2.471246e-09
1.265497e+04,2.379825e-13,8.925760e-05
4.145820e+05,2.444484e-11,1.387064e+00
2.011133e+03,2.111382e-14,5.464986e-05
5.556271e+02,2.262802e-13,1.386563e-06
5.620500e+04,8.352653e-12,9.209839e-03
9.142277e+04,4.372515e-12,2.190618e-01
3.345942e+03,7.310783e-14,6.648581e-07
2.841195e+09,5.638427e-07,9.999764e-01
2.914429e+10,3.186916e-07,9.999605e-01
1.105028e+06,4.859369e-11,3.529008e-01
2.568184e+03,8.742859e-15,1.138864e-05
1.379746e+03,8.147780e-14,6.602923e-07
1.161732e+04,2.154195e-13,2.470985e-04
2.177984e+07,3.389737e-10,9.725185e-01
2.232494e+05,2.080802e-12,9.932424e-02
5.843609e+03,3.146940e-15,6.961200e-05
2.734986e+04,6.027891e-13,2.310513e-05
1.305770e+03,3.742467e-13,5.012229e-06
2.664863e+03,8.251795e-14,1.040597e-05
1.781266e+07,5.860407e-11,9.748121e-01
1.127562e+06,5.196713e-11,3.465365e-01
4.140766e+04,4.220744e-13,5.249324e-03
9.279492e+05,1.183477e-10,9.179142e-01
1.228208e+04,1.224730e-13,9.525966e-05
1.018780e+12,2.687968e-06,9.551411e-01
1.024188e+06,5.608694e-11,5.015631e-01
4.625228e+01,1.628288e-16,3.387180e-09
5.613579e+02,2.914147e-14,8.815139e-07
8.023164e+02,8.702102e-15,1.322665e-06
1.669507e+02,3.428015e-15,5.245904e-08
5.265186e+09,5.209693e-07,1.000141e+00
1.253551e+10,8.410582e-08,9.999080e-01
2.990725e+03,1.455742e-12,3.642993e-05
